model,loss,macro_auroc,micro_auroc,macro_auprc,macro_f1,micro_f1,hamming_loss,per_label_accuracy,exact_match_accuracy,reconstruction_accuracy
Supervised CNN-VAE,1.4072953185914086,0.6721266177191036,0.6793914973724121,0.11630296810664867,0.19411779220804457,0.19871407170306407,0.4064137052244089,0.5935862947755911,0.06234366888479872,0.3354058490762125
CNN + BiLSTM,0.7137964110899019,0.6624733127681044,0.659624774666212,0.11762409980951997,0.18467479401168582,0.1861285092887074,0.4335693048279768,0.5664306951720233,0.05167775732691491,
1D CNN,0.7042772583735547,0.6568130563822875,0.6574837503314692,0.1112669276359038,0.18549302645791882,0.18864060602765545,0.42257775260748504,0.577422247392515,0.04469300108546888,
Transformer Encoder,0.7750044983585186,0.6016469947381077,0.5891122271665027,0.09898908105687144,0.1553473813520785,0.15778631089186615,0.5672471565434896,0.43275284345651044,0.04417386379725329,
